name,field
Isaac Newton,physics
Albert Einstein,physics
Charles Darwin,biology
Galileo Galilei,physics
Aristotle,polymath
Leonardo da Vinci,polymath
Marie Curie,physics
Archimedes,polymath
Johannes Kepler,astronomy
Nikola Tesla,engineering
James Clerk Maxwell,physics
Michael Faraday,physics
Gottfried Wilhelm Leibniz,polymath
René Descartes,polymath
Blaise Pascal,polymath
Carl Friedrich Gauss,mathematics
Leonhard Euler,mathematics
Pierre-Simon Laplace,polymath
Srinivasa Ramanujan,mathematics
Alan Turing,mathematics
John von Neumann,polymath
Kurt Gödel,mathematics
Euclid,mathematics
Pythagoras,mathematics
Évariste Galois,mathematics
David Hilbert,mathematics
Henri Poincaré,mathematics
Bernhard Riemann,mathematics
Emmy Noether,mathematics
Ada Lovelace,mathematics
Sofya Kovalevskaya,mathematics
Pierre de Fermat,mathematics
Joseph-Louis Lagrange,mathematics
Augustin-Louis Cauchy,mathematics
Karl Weierstrass,mathematics
Georg Cantor,mathematics
Niels Bohr,physics
Werner Heisenberg,physics
Erwin Schrödinger,physics
Paul Dirac,physics
Richard Feynman,physics
Max Planck,physics
Ludwig Boltzmann,physics
Ernest Rutherford,physics
J.J. Thomson,physics
Enrico Fermi,physics
Wolfgang Pauli,physics
Max Born,physics
Louis de Broglie,physics
Stephen Hawking,physics
Roger Penrose,mathematics
Emmy Amalie Noether,mathematics
Lise Meitner,physics
Chien-Shiung Wu,physics
Subrahmanyan Chandrasekhar,physics
Satyendra Nath Bose,physics
C.V. Raman,physics
Johannes Diderik van der Waals,physics
Hendrik Lorentz,physics
Antoine Lavoisier,chemistry
Dmitri Mendeleev,chemistry
Linus Pauling,chemistry
Louis Pasteur,chemistry
Robert Boyle,chemistry
Joseph Priestley,chemistry
Jöns Jacob Berzelius,chemistry
Justus von Liebig,chemistry
Friedrich Wöhler,chemistry
August Kekulé,chemistry
Dorothy Hodgkin,chemistry
Rosalind Franklin,chemistry
William Harvey,medicine
Hippocrates,medicine
Galen,medicine
Andreas Vesalius,medicine
Edward Jenner,medicine
Robert Koch,medicine
Alexander Fleming,medicine
Jonas Salk,medicine
Frederick Banting,medicine
Paul Ehrlich,medicine
Sigmund Freud,psychology
Carl Jung,psychology
William James,psychology
Ivan Pavlov,psychology
B.F. Skinner,psychology
Jean Piaget,psychology
Lev Vygotsky,psychology
Daniel Kahneman,psychology
Gregor Mendel,biology
Louis Agassiz,biology
Carl Linnaeus,biology
Georges Cuvier,biology
Jean-Baptiste Lamarck,biology
Alfred Russel Wallace,biology
Thomas Hunt Morgan,biology
Barbara McClintock,biology
James Watson,biology
Francis Crick,biology
Rosalind Franklin,biology
Rachel Carson,biology
E.O. Wilson,biology
Jane Goodall,biology
Charles Lyell,geology
Alfred Wegener,geology
James Hutton,geology
Edwin Hubble,astronomy
Nicolaus Copernicus,astronomy
Tycho Brahe,astronomy
Johannes Kepler,astronomy
Edmund Halley,astronomy
William Herschel,astronomy
Carl Sagan,astronomy
Vera Rubin,astronomy
Cecilia Payne-Gaposchkin,astronomy
Subrahmanyan Chandrasekhar,astronomy
Hippasus,mathematics
Diophantus,mathematics
Hypatia,polymath
Aryabhata,polymath
Brahmagupta,mathematics
Bhaskara II,mathematics
Muhammad ibn Musa al-Khwarizmi,polymath
Omar Khayyam,polymath
Al-Biruni,polymath
Ibn al-Haytham,polymath
Avicenna,polymath
Averroes,polymath
Nasir al-Din al-Tusi,polymath
Fibonacci,mathematics
Nicole Oresme,polymath
Girolamo Cardano,polymath
François Viète,mathematics
Simon Stevin,mathematics
John Napier,mathematics
Thomas Harriot,mathematics
Johann Heinrich Lambert,polymath
Joseph Fourier,mathematics
Augustin-Jean Fresnel,physics
Sadi Carnot,physics
William Thomson Lord Kelvin,physics
Hermann von Helmholtz,polymath
James Prescott Joule,physics
Rudolf Clausius,physics
Josiah Willard Gibbs,physics
Henri Becquerel,physics
Wilhelm Röntgen,physics
Pierre Curie,physics
George Stokes,mathematics
William Rowan Hamilton,mathematics
Arthur Cayley,mathematics
James Joseph Sylvester,mathematics
Charles Babbage,mathematics
George Boole,mathematics
Augustus De Morgan,mathematics
Oliver Heaviside,mathematics
Srinivasa Ramanujan,mathematics
G.H. Hardy,mathematics
Bertrand Russell,polymath
Alfred North Whitehead,mathematics
David Hilbert,mathematics
Felix Klein,mathematics
Sophus Lie,mathematics
