name,field
Albert-Einstein,physics
Isaac-Newton,physics
Nikola-Tesla,invention
Leonardo-da-Vinci,polymath
Marie-Curie,chemistry
Charles-Darwin,biology
Galileo-Galilei,astronomy
Johannes-Kepler,astronomy
Alan-Turing,computer-science
Richard-Feynman,physics
Niels-Bohr,physics
James-Clerk-Maxwell,physics
Michael-Faraday,physics
Srinivasa-Ramanujan,mathematics
Carl-Friedrich-Gauss,mathematics
Aristotle,philosophy
Plato,philosophy
Socrates,philosophy
Immanuel-Kant,philosophy
Gottfried-Wilhelm-Leibniz,mathematics
René-Descartes,philosophy
Paul-Dirac,physics
Werner-Heisenberg,physics
Max-Planck,physics
Erwin-Schrödinger,physics
Kurt-Gödel,mathematics
John-von-Neumann,mathematics
Claude-Shannon,information-theory
Blaise-Pascal,mathematics
Pythagoras,mathematics
Hypatia,mathematics
Euclid,mathematics
Archimedes,mathematics
Hippocrates,medicine
Avicenna,medicine
Al-Khwarizmi,mathematics
Omar-Khayyam,mathematics
Farabi,philosophy
Galen,medicine
Maimonides,philosophy
Thomas-Aquinas,philosophy
Baruch-Spinoza,philosophy
David-Hume,philosophy
Georg-Wilhelm-Friedrich-Hegel,philosophy
Arthur-Schopenhauer,philosophy
Friedrich-Nietzsche,philosophy
Ludwig-Wittgenstein,philosophy
Bertrand-Russell,philosophy
John-Locke,philosophy
Francis-Bacon,philosophy
Michel-de-Montaigne,philosophy
Jean-Jacques-Rousseau,philosophy
Voltaire,philosophy
Adam-Smith,economics
Karl-Marx,economics
John-Maynard-Keynes,economics
Milton-Friedman,economics
Amartya-Sen,economics
Hannah-Arendt,philosophy
Simone-de-Beauvoir,philosophy
Judith-Butler,philosophy
Noam-Chomsky,linguistics
Ferdinand-de-Saussure,linguistics
Claude-Levi-Strauss,anthropology
Emile-Durkheim,sociology
Max-Weber,sociology
Pierre-Bourdieu,sociology
Sigmund-Freud,psychology
Carl-Jung,psychology
B-F-Skinner,psychology
Jean-Piaget,psychology
Lev-Vygotsky,psychology
Alfred-Adler,psychology
Wilhelm-Wundt,psychology
Hans-Eysenck,psychology
Abraham-Maslow,psychology
Carl-Rogers,psychology
Konrad-Lorenz,ethology
Nikolaas-Tinbergen,ethology
Jane-Goodall,primatology
Dian-Fossey,primatology
Birute-Galdikas,primatology
Stephen-Hawking,physics
Roger-Penrose,physics
Edward-Witten,physics
Freeman-Dyson,physics
Lisa-Randall,physics
Brian-Greene,physics
Sean-Carroll,physics
Carlo-Rovelli,physics
Lee-Smolins,physics
Frank-Wilczek,physics
Steven-Weinberg,physics
Subrahmanyan-Chandrasekhar,astrophysics
Homi-Bhabha,physics
Enrico-Fermi,physics
Hans-Bethe,physics
J-Robert-Oppenheimer,physics
Lise-Meitner,physics
Henri-Poincare,mathematics
Bernhard-Riemann,mathematics
David-Hilbert,mathematics
Emmy-Noether,mathematics
Alan-Baker,mathematics
Terence-Tao,mathematics
Maryam-Mirzakhani,mathematics
Andrew-Wiles,mathematics
Grigori-Perelman,mathematics
Alexander-Grothendieck,mathematics
John-Horton-Conway,mathematics
Stephen-Smale,mathematics
Donald-Knuth,computer-science
Edsger-Dijkstra,computer-science
John-McCarthy,computer-science
Marvin-Minsky,computer-science
Geoffrey-Hinton,ai
Yoshua-Bengio,ai
Yann-LeCun,ai
Demis-Hassabis,ai
Fei-Fei-Li,ai
Andrew-Ng,ai
Ilya-Sutskever,ai
Richard-Stallman,computer-science
Linus-Torvalds,computer-science
Ken-Thompson,computer-science
Dennis-Ritchie,computer-science
Grace-Hopper,computer-science
Ada-Lovelace,computer-science
Charles-Babbage,computer-science
Tim-Berners-Lee,computer-science
Vint-Cerf,computer-science
Whitfield-Diffie,cryptography
Martin-Hellman,cryptography
Ron-Rivest,cryptography
Adi-Shamir,cryptography
Leonard-Adleman,cryptography
Shafi-Goldwasser,cryptography
Silvio-Micali,cryptography
Whitney-Wolfe-Herd,technology
Elon-Musk,technology
Steve-Jobs,technology
Bill-Gates,technology
Paul-Allen,technology
Gordon-Moore,technology
Robert-Noyce,technology
Sergey-Brin,technology
Larry-Page,technology
Jeff-Bezos,technology
Mark-Zuckerberg,technology
Reed-Hastings,technology
Travis-Kalanick,technology
Patrick-Collison,economics
John-Collison,economics
Daniel-Kahneman,psychology
Amos-Tversky,psychology
Herbert-Simon,polymath
John-Nash,mathematics
Robert-Aumann,economics
Kenneth-Arrow,economics
Leonid-Kantorovich,economics
Harry-Markowitz,economics
Paul-Samuelson,economics
Elinor-Ostrom,economics
Vilfredo-Pareto,economics
Joseph-Schumpeter,economics
Peter-Drucker,economics
Clayton-Christensen,economics
W-E-B-Du-Bois,sociology
bell-hooks,philosophy
Cornel-West,philosophy
Malcolm-X,activism
Martin-Luther-King-Jr,activism
Nelson-Mandela,activism
Desmond-Tutu,activism
Aung-San-Suu-Kyi,activism
Cesar-Chavez,activism
Gloria-Steinem,activism
Margaret-Sanger,activism
Ruth-Bader-Ginsburg,law
Oliver-Wendell-Holmes-Jr,law
John-Marshall,law
Thurgood-Marshall,law
Sonia-Sotomayor,law
Sandra-Day-OConnor,law
Stephen-Breyer,law
Benjamin-Cardozo,law
Louis-Brandeis,law
Antonin-Scalia,law
George-Washington,politics
Thomas-Jefferson,politics
James-Madison,politics
Alexander-Hamilton,politics
Abraham-Lincoln,politics
Theodore-Roosevelt,politics
Franklin-Delano-Roosevelt,politics
Dwight-Eisenhower,politics
