name,field
Leonardo da Vinci,Polymath
Albert Einstein,Physics
Isaac Newton,Physics-Mathematics
Galileo Galilei,Astronomy-Physics
Marie Curie,Chemistry-Physics
Charles Darwin,Biology
Nikola Tesla,Engineering-Invention
Socrates,Philosophy
Plato,Philosophy
Aristotle,Philosophy-Logic
Immanuel Kant,Philosophy
René Descartes,Philosophy-Mathematics
Gottfried Wilhelm Leibniz,Mathematics-Philosophy
Ludwig van Beethoven,Music
Wolfgang Amadeus Mozart,Music
William Shakespeare,Literature-Drama
Michelangelo,Art-Sculpture
Johann Sebastian Bach,Music
Max Planck,Physics
Niels Bohr,Physics
Werner Heisenberg,Physics
Paul Dirac,Physics
Richard Feynman,Physics
James Clerk Maxwell,Physics
Michael Faraday,Physics
Dénes Gábor,Engineering-Holography
Alan Turing,Mathematics-Computer Science
Ada Lovelace,Mathematics-Computer Science
Euclid,Mathematics
Archimedes,Mathematics-Engineering
Carl Friedrich Gauss,Mathematics
Bernhard Riemann,Mathematics
Évariste Galois,Mathematics
Kurt Gödel,Mathematics-Logic
John von Neumann,Mathematics-Computer Science
Claude Shannon,Mathematics-Information Theory
Noam Chomsky,Linguistics
Sigmund Freud,Psychology
Carl Jung,Psychology
B.F. Skinner,Psychology
Jean Piaget,Psychology
Avicenna,Medicine-Philosophy
Al-Khwarizmi,Mathematics-Astronomy
Ibn Khaldun,Sociology-Historiography
Maimonides,Philosophy-Theology
Averroes,Philosophy-Theology
Confucius,Philosophy
Lao Tzu,Philosophy
Siddhartha Gautama-Buddha,Philosophy-Religion
Jesus of Nazareth,Philosophy-Religion
Muhammad,Philosophy-Religion
Rumi,Poetry-Theology
Homer,Literature-Poetry
Virgil,Literature-Poetry
Dante Alighieri,Literature-Poetry
Miguel de Cervantes,Literature
Fyodor Dostoevsky,Literature
Leo Tolstoy,Literature
Marcel Proust,Literature
Virginia Woolf,Literature
Franz Kafka,Literature
Jorge Luis Borges,Literature
Gabriel García Márquez,Literature
Jane Austen,Literature
Mary Shelley,Literature
Gutenberg-Johannes,Invention-Printing
Thomas Edison,Invention
George Washington Carver,Botany-Invention
Benjamin Franklin,Polymath-Invention
Hippocrates,Medicine
Galen,Medicine
Andreas Vesalius,Anatomy-Medicine
William Harvey,Medicine
Louis Pasteur,Chemistry-Microbiology
Robert Koch,Medicine-Microbiology
Albert Sabin,Medicine-Virology
Jonas Salk,Medicine-Virology
Alexander Fleming,Medicine-Bacteriology
Antoine Lavoisier,Chemistry
Dmitri Mendeleev,Chemistry
Linus Pauling,Chemistry-Peace
Rosalind Franklin,Biophysics
Barbara McClintock,Genetics
Gregor Mendel,Genetics
Francis Crick,Genetics-Molecular Biology
James Watson,Genetics-Molecular Biology
Blaise Pascal,Mathematics-Philosophy
Pierre de Fermat,Mathematics
Joseph-Louis Lagrange,Mathematics
Leonhard Euler,Mathematics
Srinivasa Ramanujan,Mathematics
Henri Poincaré,Mathematics-Physics
David Hilbert,Mathematics
Eratosthenes,Geography-Mathematics
Ptolemy,Astronomy-Geography
Copernicus-Nicolaus,Astronomy
Tycho Brahe,Astronomy
Johannes Kepler,Astronomy
Christiaan Huygens,Physics-Astronomy
Blaise Pascal,Mathematics-Philosophy
Hypatia,Mathematics-Astronomy
Emmy Noether,Mathematics
Sophie Germain,Mathematics
Maria Gaetana Agnesi,Mathematics
George Boole,Mathematics-Logic
Bertrand Russell,Philosophy-Logic
Alfred North Whitehead,Philosophy-Mathematics
John Locke,Philosophy
David Hume,Philosophy
Jean-Jacques Rousseau,Philosophy
Adam Smith,Economics
Karl Marx,Sociology-Economics
John Maynard Keynes,Economics
Milton Friedman,Economics
Hannah Arendt,Political Theory
Michel Foucault,Philosophy-History
Jacques Derrida,Philosophy
Simone de Beauvoir,Philosophy-Feminism
Harriet Tubman,Social Thought-Activism
Mahatma Gandhi,Social Thought-Ethics
Martin Luther King Jr-,Social Thought-Ethics
Nelson Mandela,Social Thought-Ethics
Mother Teresa,Social Thought-Ethics
Alexander Graham Bell,Invention-Telephony
Guglielmo Marconi,Invention-Radio
Orville Wright,Invention-Aeronautics
Wilbur Wright,Invention-Aeronautics
Steve Jobs,Design-Technology
Bill Gates,Technology-Software
Ada Yonath,Chemistry-Crystallography
Vannevar Bush,Engineering-Information Science
Grace Hopper,Computer Science
Donald Knuth,Computer Science-Mathematics
Linus Torvalds,Software Engineering
Tim Berners-Lee,Computer Science-WWW
Hedy Lamarr,Invention-Communications
Igor Stravinsky,Music
Arnold Schoenberg,Music
Claude Debussy,Music
Duke Ellington,Music
Louis Armstrong,Music
Thelonious Monk,Music
Miles Davis,Music
Aretha Franklin,Music
Ella Fitzgerald,Music
Maria Callas,Music-Opera
Frank Lloyd Wright,Architecture
Le Corbusier,Architecture
Ludwig Mies van der Rohe,Architecture
Andrea Palladio,Architecture
Filippo Brunelleschi,Architecture-Engineering
Donatello,Sculpture
Raphael,Art-Painting
Sandro Botticelli,Art-Painting
El Greco,Art-Painting
Rembrandt,Art-Painting
Jan van Eyck,Art-Painting
Hieronymus Bosch,Art-Painting
J-M-W Turner,Art-Painting
Leonardo da Vinci,Polymath
Pablo Picasso,Art-Painting-Sculpture
Vincent van Gogh,Art-Painting
Claude Monet,Art-Painting
Paul Cézanne,Art-Painting
Wassily Kandinsky,Art-Painting
Henri Matisse,Art-Painting
Georgia O-Keeffe,Art-Painting
Frida Kahlo,Art-Painting
Salvador Dalí,Art-Painting
Akira Kurosawa,Film-Directing
Alfred Hitchcock,Film-Directing
Sergei Eisenstein,Film-Directing
Orson Welles,Film-Directing
Charlie Chaplin,Film-Acting-Directing
Isadora Duncan,Dance-Choreography
Martha Graham,Dance-Choreography
George Balanchine,Dance-Choreography
Vaslav Nijinsky,Dance-Choreography
Marthinus Beijerinck,Microbiology
Sergei Winogradsky,Microbiology
Theodosius Dobzhansky,Genetics-Evolution
Erwin Schrödinger,Physics-Biology
Linnaeus-Carl,Botany-Taxonomy
Humboldt-Alexander von,Geography-Natural History
Rachel Carson,Ecology
Jane Goodall,Primatology-Anthropology
George Pólya,Mathematics-Pedagogy
Alexander Grothendieck,Mathematics
Mary Cartwright,Mathematics
Olga Ladyzhenskaya,Mathematics
Yuri Manin,Mathematics
Andrei Kolmogorov,Mathematics
Léon Walras,Economics
Vilfredo Pareto,Sociology-Economics
Paul Samuelson,Economics
Elinor Ostrom,Economics-Political Science
W-V-O Quine,Philosophy-Logic
Saul Kripke,Philosophy-Logic
Hilary Putnam,Philosophy-Logic
Judith Butler,Philosophy-Gender Theory
Ayn Rand,Philosophy-Literature
Ralph Waldo Emerson,Philosophy-Literature
Henry David Thoreau,Philosophy-Literature
Walt Whitman,Poetry
Emily Dickinson,Poetry
T-S Eliot,Poetry
Ezra Pound,Poetry
W-B Yeats,Poetry
W-H Auden,Poetry
Pablo Neruda,Poetry
Octavio Paz,Poetry
Toni Morrison,Literature
Chinua Achebe,Literature
Wole Soyinka,Literature
Naguib Mahfouz,Literature
Rabindranath Tagore,Literature-Arts
Kahlil Gibran,Literature-Poetry
Deng Ming-Dao,Philosophy-Martial Arts
Sun Tzu,Military Strategy-Philosophy
Niccolò Machiavelli,Political Science
Thomas More,Philosophy-Utopia
Francis Bacon,Philosophy-Scientific Method
Baruch Spinoza,Philosophy
G-W-F Hegel,Philosophy
Arthur Schopenhauer,Philosophy
Friedrich Nietzsche,Philosophy
Søren Kierkegaard,Philosophy
Edmund Husserl,Philosophy
Martin Heidegger,Philosophy
Ludwig Wittgenstein,Philosophy-Logic
Willard Libby,Chemistry-Radiocarbon Dating
Dorothy Hodgkin,Chemistry-Crystallography
Chien-Shiung Wu,Physics
Lise Meitner,Physics
Enrico Fermi,Physics
Oppenheimer-J-Robert,Physics
Andrei Sakharov,Physics-Activism
Gell-Mann-Murray,Physics
Stephen Hawking,Physics-Cosmology
Roger Penrose,Mathematics-Physics
Edward Witten,Physics-Mathematics
Shing-Tung Yau,Mathematics
Terence Tao,Mathematics
William Thomson-Lord Kelvin,Physics-Engineering
Rudolf Clausius,Physics
Sadi Carnot,Physics-Thermodynamics
Nikolaus Otto,Engineering-Invention
Rudolf Diesel,Engineering-Invention
Karl Benz,Engineering-Invention
Elias Howe,Invention-Sewing Machine
Samuel Morse,Invention-Telegraphy
Eli Whitney,Invention-Cotton Gin
Cyrus McCormick,Invention-Agricultural
Marie Tharp,Geology-Cartography
Alfred Wegener,Geology-Meteorology
J- Tuzo Wilson,Geophysics
Walter Alvarez,Geology-Physics
Mary Leakey,Paleoanthropology
Louis Leakey,Paleoanthropology
Charles Lyell,Geology
James Hutton,Geology
Leon Battista Alberti,Polymath
Isabella Bird,Exploration-Travel Writing
Marco Polo,Exploration
Ibn Battuta,Exploration-Geography
Zheng He,Exploration
Alexander von Humboldt,Polymath-Geography
Goethe-Johann Wolfgang von,Polymath-Literature
Buckminster Fuller,Design-Invention
Elie Wiesel,Literature-Ethics
Vaclav Havel,Literature-Politics
Desmond Tutu,Ethics-Activism
Shirin Ebadi,Law-Activism
Tenzin Gyatso-Dalai Lama,Philosophy-Ethics
Aung San Suu Kyi,Politics-Activism
Helen Keller,Activism-Education
Maria Montessori,Education-Pedagogy
John Dewey,Education-Philosophy
Paulo Freire,Education-Pedagogy
Ivan Pavlov,Physiology-Psychology
Santiago Ramón y Cajal,Neuroscience
Charles Sherrington,Neuroscience
Wilder Penfield,Neuroscience
Eric Kandel,Neuroscience
Elias James Corey,Chemistry
Robert Burns Woodward,Chemistry
Fritz Haber,Chemistry
Theodore von Kármán,Engineering-Aerodynamics
Robert Goddard,Engineering-Rockets
Konstantin Tsiolkovsky,Engineering-Rockets
Wernher von Braun,Engineering-Rockets
Frank Whittle,Engineering-Jets
Hans Bethe,Physics-Astrophysics
Subrahmanyan Chandrasekhar,Astrophysics
Edwin Hubble,Astronomy
Vesto Slipher,Astronomy
Henrietta Swan Leavitt,Astronomy
Jocelyn Bell Burnell,Astrophysics
Vera Rubin,Astronomy
Karl Popper,Philosophy of Science
Thomas Kuhn,Philosophy of Science
Imre Lakatos,Philosophy of Science
Stephen Jay Gould,Biology-Paleontology
Richard Dawkins,Biology-Evolution
Edward O- Wilson,Biology-Sociobiology
