name,field
Ada Lovelace,mathematics
Akshay Venkatesh,mathematics
Al-Khwarizmi,mathematics
Alan Turing,computer science
Albert Einstein,physics
Albert Hofman,chemistry
Alessandro Volta,physics
Alexander Graham Bell,invention
Alfred Binet,psychology
Alhazen,optics
Anaximander,philosophy
Andrew Wiles,mathematics
Andrey Kolmogorov,mathematics
Antoine Lavoisier,chemistry
Antonie van Leeuwenhoek,biology
Apollonius of Perga,mathematics
Archimedes,mathematics
Aristotle,polymath
Arnold Schoenberg,music
Artemisia Gentileschi,art
Arthur Schopenhauer,philosophy
Aryabhata,mathematics
Auguste Rodin,art
Augustin-Louis Cauchy,mathematics
Augustine of Hippo,philosophy
Averroes,philosophy
Avicenna,polymath
Barbara McClintock,biology
Baruch Spinoza,philosophy
Bernhard Riemann,mathematics
Bertrand Russell,philosophy
Bhaskara II,mathematics
Blaise Pascal,mathematics
Boethius,philosophy
Brahmagupta,mathematics
Cai Lun,invention
Caravaggio,art
Carl Friedrich Gauss,mathematics
Carl Linnaeus,biology
Carl Sagan,astronomy
Chanakya,political thought
Charles Darwin,biology
Charles Dickens,literature
Chien-Shiung Wu,physics
Chinua Achebe,literature
Cicero,philosophy
Claude Debussy,music
Claude Monet,art
Claudio Monteverdi,music
Confucius,philosophy
Craig Venter,biology
Dante Alighieri,literature
David Hilbert,mathematics
David Hume,philosophy
Diego Velázquez,art
Diophantus,mathematics
Dmitri Mendeleev,chemistry
Dmitri Shostakovich,music
Donatello,art
Duns Scotus,philosophy
Edith Clarke,engineering
Edward Teller,physics
Eli Whitney,invention
Ellen Ochoa,engineering
Elon Musk,invention
Emil Kraepelin,psychology
Emmanuelle Charpentier,biology
Emmy Noether,mathematics
Enrico Fermi,physics
Epictetus,philosophy
Epicurus,philosophy
Eric S. Lander,biology
Ernst Haeckel,biology
Erwin Schrödinger,physics
Euclid,mathematics
Felix Mendelssohn,music
Fibonacci,mathematics
Francis Bacon,philosophy
Francis Crick,biology
Francis Galton,statistics
Francisco Goya,art
Franz Kafka,literature
Franz Liszt,music
Franz Schubert,music
Frederick Jones,invention
Frida Kahlo,art
Friedrich Nietzsche,philosophy
Frédéric Chopin,music
Fyodor Dostoevsky,literature
Gabriel García Márquez,literature
Galileo Galilei,physics
Garrett Morgan,invention
Geoffrey Chaucer,literature
Georg Wilhelm Friedrich Hegel,philosophy
George Berkeley,philosophy
George Frideric Handel,music
George Orwell,literature
George Washington Carver,biology
Georgia O-Keeffe,art
Gian Lorenzo Bernini,art
Giordano Bruno,philosophy
Giovanni Pierluigi da Palestrina,music
Giuseppe Verdi,music
Gladys West,mathematics
Gottfried Wilhelm Leibniz,polymath
Gregor Mendel,biology
Grigori Perelman,mathematics
Guillaume de Machaut,music
Hannah Arendt,philosophy
Hector Berlioz,music
Henri Poincaré,mathematics
Henry Ford,invention
Henry Moore,art
Heraclitus,philosophy
Hermann Minkowski,mathematics
Hero of Alexandria,engineering
Hildegard von Bingen,music
Hippocrates,medicine
Homer,literature
Humphry Davy,chemistry
Hypatia,mathematics
Ibn al-Nafis,medicine
Igor Stravinsky,music
Immanuel Kant,philosophy
Isaac Newton,polymath
J.M.W. Turner,art
James Clerk Maxwell,physics
James Joyce,literature
James Watson,biology
James Watt,invention
Janaki Ammal,biology
Jane Austen,literature
Jane Goodall,biology
Jean-Jacques Rousseau,philosophy
Jean-Paul Sartre,philosophy
Jennifer Doudna,biology
JoAnn E. Manson,medicine
Johann Sebastian Bach,music
Johannes Brahms,music
Johannes Gutenberg,invention
Johannes Kepler,astronomy
Johannes Vermeer,art
John Locke,philosophy
John Milton,literature
John Stuart Mill,philosophy
John von Neumann,mathematics
Jonas Salk,medicine
Jonathan Swift,literature
Joseph Haydn,music
Joseph-Louis Lagrange,mathematics
Josquin des Prez,music
Karl Marx,philosophy
Katherine Johnson,mathematics
Kurt Gödel,mathematics
Leo Tolstoy,literature
Leonardo da Vinci,polymath
Leonhard Euler,mathematics
Lewis Latimer,invention
Lise Meitner,physics
Liu Hui,mathematics
Lord Byron,literature
Louis Pasteur,biology
Louise Bourgeois,art
Ludwig Wittgenstein,philosophy
Ludwig van Beethoven,music
Madhava of Sangamagrama,mathematics
Mae Jemison,engineering
Mahatma Gandhi,political thought
Maimonides,philosophy
Manjul Bhargava,mathematics
Marcus Aurelius,philosophy
Maria Gaetana Agnesi,mathematics
Marie Curie,physics
Mark Twain,literature
Martin Heidegger,philosophy
Martin Luther King Jr.,social thought
Mary Shelley,literature
Maryam Mirzakhani,mathematics
Max Planck,physics
Meir J. Stampfer,medicine
Michael Faraday,physics
Michel de Montaigne,philosophy
Michelangelo,art
Miguel de Cervantes,literature
Mollie Orshansky,economics
Muhammad ibn Musa al-Khwarizmi,mathematics
Nelson Mandela,political thought
Niccolò Machiavelli,political thought
Nicolaus Copernicus,astronomy
Nicole Oresme,mathematics
Niels Bohr,physics
Niels Henrik Abel,mathematics
Nikola Tesla,invention
Omar Khayyam,mathematics
Ovid,literature
Pablo Picasso,art
Parmenides,philosophy
Paul Erdős,mathematics
Peter Paul Rubens,art
Phidias,art
Pierre de Fermat,mathematics
Plato,philosophy
Plotinus,philosophy
Praxiteles,art
Ptolemy,astronomy
Pyotr Ilyich Tchaikovsky,music
Pythagoras,mathematics
Rachel Carson,biology
Raphael,art
Rembrandt,art
René Descartes,philosophy
Richard Feynman,physics
Richard Wagner,music
Robert Boyle,chemistry
Robert Grosseteste,philosophy
Robert Langer,engineering
